age,gender,purchase_amount,tenure,churn
18,Female,1355163.43,81,0
60,Female,1167471.12,17,0
45,Female,1345509.27,66,0
54,Male,1546331.46,112,0
69,Female,1294010.31,118,0
19,Male,1093675.08,100,1
68,Female,1256077.95,114,0
46,Female,1384093.75,95,0
43,Female,1581150.67,47,0
67,Female,1458727.55,36,0
47,Male,1496080.46,79,0
40,Female,1527146.86,6,1
24,Male,1368023.72,104,0
40,Female,1398467.54,16,1
23,Male,1434380.51,87,0
54,Female,1511925.61,59,0
50,Male,1269566.89,107,0
31,Female,1460701.78,2,0
36,Male,1891403.67,39,0
65,Female,1107410.01,7,0
20,Male,1640853.18,6,0
36,Female,1080034.61,70,0
28,Female,1620391.03,72,0
22,Male,1436770.56,17,0
35,Male,1860774.94,50,0
47,Male,1804551.14,18,0
66,Male,1646040.34,58,0
65,Male,1742194.01,8,0
18,Female,1477007.55,59,1
22,Male,1473568.92,119,0
26,Male,1249131.59,88,0
54,Male,1514306.84,110,0
67,Male,1379954.04,2,0
58,Male,1654964.22,77,0
50,Female,1526631.03,37,1
55,Female,1470751.54,94,0
45,Male,1141629.2,44,1
51,Female,1439677.87,51,0
40,Male,1471399.56,7,0
22,Female,1932828.22,90,0
65,Male,1303422.42,52,0
44,Male,1841054.63,8,0
36,Male,1653211.69,54,0
26,Male,1296735.19,94,1
55,Female,1220608.02,35,1
57,Female,1253863.34,95,0
61,Female,1456618.99,24,0
20,Female,1687312.41,78,0
31,Female,1113573.52,9,1
58,Female,1873249.93,55,0
25,Female,1977877.79,91,0
22,Female,1427099.09,81,0
24,Male,1537413.86,88,0
25,Male,1347937.22,75,0
65,Female,1577239.75,54,0
38,Male,1479335.72,45,0
21,Female,1405063.85,100,0
57,Female,1300104.6,103,0
47,Female,1259110.72,77,1
34,Female,1072960.19,104,1
49,Male,1424647.48,70,0
44,Male,1443302.85,52,0
26,Male,1321379.78,27,1
51,Male,1853450.49,11,0
42,Female,1390691.87,92,0
37,Female,1387628.43,95,0
57,Male,1506541.17,62,0
26,Female,1470532.79,108,0
60,Male,1195080.95,34,1
42,Male,1674329.49,87,0
60,Male,1197640.46,25,1
34,Female,1596710.62,61,0
67,Female,1678223.02,41,0
63,Male,1531570.27,80,0
61,Female,1395100.05,111,0
46,Male,1287875.78,51,1
35,Female,1492898.71,36,0
33,Female,1299912.22,43,1
41,Male,1766028.41,68,0
37,Female,1299365.95,97,0
40,Female,1748765.94,107,0
50,Female,1387196.07,103,0
23,Female,1342150.06,39,1
30,Female,1367849.66,36,1
26,Female,1232869.34,18,1
26,Male,1316578.85,36,0
25,Female,1845190.22,63,0
38,Female,1500136.01,106,0
35,Female,1803603.47,53,0
28,Female,1360130.15,83,1
41,Male,1814373.3,78,0
61,Female,1376947.2,119,0
43,Male,1519798.63,14,0
51,Female,1238722.62,58,1
67,Male,1932523.3,113,0
20,Female,1232373.99,73,1
68,Male,1569666.43,103,0
52,Male,1614828.28,72,0
29,Female,1420891.17,35,1
33,Male,1629784.82,52,0
22,Female,1398314.41,53,0
65,Female,1421227.59,106,0
39,Female,1408259.67,28,0
22,Female,1341726.41,95,0
22,Male,1418633.55,109,0
29,Female,1567798.74,74,1
49,Female,1607132.27,33,0
66,Female,1410958.85,36,0
55,Female,1568533.48,34,0
57,Female,1721320.37,92,0
67,Male,1695342.58,30,0
69,Male,1313668.76,107,0
36,Male,1325492.41,60,1
18,Female,1470536.31,69,0
42,Male,1830536.62,83,0
58,Female,1344087.23,117,0
67,Male,1313811.58,68,0
45,Female,1817933.74,81,0
51,Female,1432684.35,91,0
37,Female,1539766.91,44,0
31,Male,1819466.15,15,0
43,Male,1424235.09,13,0
20,Male,1788997.62,105,0
50,Female,1623748.15,36,1
60,Female,1504528.72,111,0
21,Female,1519819.14,95,0
48,Female,1218507.68,3,1
38,Male,1485417.1,50,0
42,Female,1331984.53,53,1
63,Female,1476275.87,95,0
65,Female,2096980.59,6,0
